cr_returned_date_sk,cr_returned_time_sk,cr_item_sk,cr_refunded_customer_sk,cr_refunded_cdemo_sk,cr_refunded_hdemo_sk,cr_refunded_addr_sk,cr_returning_customer_sk,cr_returning_cdemo_sk,cr_returning_hdemo_sk,cr_returning_addr_sk,cr_call_center_sk,cr_catalog_page_sk,cr_ship_mode_sk,cr_warehouse_sk,cr_reason_sk,cr_order_number,cr_return_quantity,cr_return_amount,cr_return_tax,cr_return_amt_inc_tax,cr_fee,cr_return_ship_cost,cr_refunded_cash,cr_reversed_charge,cr_store_credit,cr_net_loss
2451099,64669,163,26,10214,3361,305,573,3422,6726,114,1,42,18,1,1,183,3,70.02,4.20,74.22,70.47,63.54,6.30,57.34,6.38,138.21
2451146,61423,112,856,2388,3400,272,434,9973,1575,180,1,560,8,1,1,185,17,1232.67,36.98,1269.65,98.67,578.34,887.52,44.86,300.29,713.99
2451179,5419,38,713,9574,1748,242,474,2648,3613,339,1,629,11,1,1,187,24,460.08,23.00,483.08,40.22,304.56,391.06,8.28,60.74,367.78
2451210,70554,91,64,13876,2129,485,64,13876,3281,485,1,207,14,1,1,188,85,8529.75,0.00,8529.75,2.78,6020.55,3582.49,1879.95,3067.31,6023.33
2451173,40381,26,,5051,,,,,,,,,,,1,189,,,395.48,5339.05,,1258.37,3015.57,655.52,1272.48,1678.26
2451157,54995,140,920,784,3561,58,607,16536,534,297,1,150,20,1,1,192,3,7.17,0.21,7.38,43.58,20.31,5.73,0.51,0.93,64.10
2451129,69675,151,920,784,3561,58,723,13355,438,129,1,744,9,1,1,192,4,429.84,17.19,447.03,54.13,156.68,382.55,21.75,25.54,228.00
2451159,82786,127,920,784,3561,58,427,15806,5612,150,1,674,11,1,1,192,65,1431.30,0.00,1431.30,94.34,731.25,143.13,1043.41,244.76,825.59
2451125,47896,112,746,5615,5395,296,950,9370,3551,32,1,116,8,1,1,193,3,33.57,1.67,35.24,19.42,38.22,9.06,7.84,16.67,59.31
2451134,50240,110,746,15876,5445,271,777,4916,1541,139,1,684,20,1,1,194,11,391.71,11.75,403.46,65.55,92.18,336.87,7.67,47.17,169.48
2451108,65650,50,928,6926,3027,500,225,13497,3103,69,1,151,14,1,1,195,11,942.26,18.84,961.10,98.02,68.64,301.52,108.92,531.82,185.50
2451110,70454,1,928,6926,3027,500,537,15856,1679,182,1,140,18,1,1,195,15,382.80,22.96,405.76,45.42,270.15,340.69,6.31,35.80,338.53
2451223,72753,169,503,79,3550,350,171,2249,385,132,1,169,19,1,1,197,6,253.56,17.74,271.30,81.03,135.42,197.77,49.09,6.70,234.19
2451097,40698,32,503,79,3550,350,295,11553,6485,29,1,268,8,1,1,197,20,298.20,14.91,313.11,28.90,33.40,53.67,105.14,139.39,77.21
2451260,74775,13,975,14423,4351,239,975,14423,3557,239,1,254,15,1,1,199,8,37.12,3.34,40.46,6.37,11.36,5.93,18.40,12.79,21.07
2451233,84918,100,975,14423,4351,239,197,6042,4982,207,1,257,3,1,1,199,28,5.88,0.17,6.05,15.78,5.88,3.23,0.42,2.23,21.83
2451213,59821,85,713,905,3496,264,711,16340,20,288,1,136,12,1,1,201,7,553.98,27.69,581.67,2.92,251.79,481.96,50.41,21.61,282.40
2451120,38611,74,713,905,3496,264,190,13882,3904,98,1,159,20,1,1,201,53,2646.29,26.46,2672.75,65.48,627.52,1720.08,157.45,768.76,719.46
2451135,66307,76,713,905,3496,264,746,13903,2523,379,1,140,7,1,1,201,5,8.45,0.00,8.45,92.69,12.70,2.28,6.10,0.07,105.39
2451231,65765,121,49,4546,2290,87,602,13810,2506,26,1,753,6,1,1,203,52,6451.64,580.64,7032.28,22.68,1915.16,6064.54,270.97,116.13,2518.48
2451133,16281,58,49,4546,2290,87,543,16088,1753,218,1,267,6,1,1,203,11,1395.46,83.72,1479.18,83.59,471.90,334.91,413.61,646.94,639.21
2451124,41410,4,741,17176,3746,272,547,6905,1715,38,1,124,1,1,1,204,52,9050.60,181.01,9231.61,99.90,952.64,2534.16,2345.91,4170.53,1233.55
2451250,84414,82,741,17176,3746,272,106,7471,4960,457,1,298,15,1,1,204,15,121.50,7.29,128.79,45.98,255.75,18.22,49.57,53.71,309.02
2451073,74899,10,288,12446,1555,212,288,12446,4447,212,1,208,5,1,1,206,21,2769.48,221.55,2991.03,18.70,1796.34,387.72,47.63,2334.13,2036.59
2451057,63671,82,288,12446,1555,212,3,16680,4337,63,1,271,15,1,1,206,32,0.00,0.00,0.00,87.12,1851.52,0.00,0.00,0.00,1938.64
2451115,84669,61,871,19060,2801,113,323,7258,3584,57,1,163,9,1,1,207,37,669.33,26.77,696.10,60.42,364.08,147.25,151.40,370.68,451.27
2451156,58808,176,871,19060,2801,113,491,16051,4358,280,1,212,19,1,1,207,61,8973.71,628.15,9601.86,19.58,3792.98,7537.91,1306.57,129.23,4440.71
2451192,7207,1,871,19060,2801,113,582,15904,7080,27,1,124,14,1,1,207,5,159.90,14.39,174.29,75.17,38.35,124.72,23.21,11.97,127.91
2451099,33551,16,674,2557,6912,231,13,4830,241,255,1,284,3,1,1,209,47,1582.96,79.14,1662.10,10.45,407.02,997.26,333.84,251.86,496.61
2451098,49372,31,674,2557,6912,231,937,2600,433,421,1,243,18,1,1,209,56,3297.28,230.80,3528.08,8.35,2102.24,3099.44,185.96,11.88,2341.39
2451089,64185,133,169,12069,3400,439,15,2142,309,87,1,113,7,1,1,211,25,216.25,4.32,220.57,99.31,56.25,21.62,128.45,66.18,159.88
2451210,74898,100,169,12069,3400,439,587,8010,1073,241,1,315,12,1,1,211,32,746.88,67.21,814.09,42.18,1848.00,112.03,380.91,253.94,1957.39
2451221,37682,158,169,12069,3400,439,940,11956,4060,433,1,161,19,1,1,211,13,1176.89,0.00,1176.89,83.49,14.30,682.59,375.66,118.64,97.79
2451148,73503,67,128,5372,4392,324,695,4070,2383,280,1,670,18,1,1,212,26,3905.72,0.00,3905.72,6.22,211.12,2030.97,1237.33,637.42,217.34
2451050,79374,88,568,18928,,13,,5838,3272,151,1,158,2,1,1,215,,222.53,13.35,235.88,11.84,,46.73,,,
2451240,3058,169,,,,246,118,,5464,9,1,141,,1,1,217,23,0.00,0.00,0.00,44.95,1564.46,,0.00,,1609.41
2451183,67991,68,633,8939,3861,375,633,8939,6665,375,1,143,13,1,1,219,53,4041.25,80.82,4122.07,21.79,897.82,3960.42,1.61,79.22,1000.43
2451176,19916,88,633,8939,3861,375,698,9375,1347,312,1,165,14,1,1,219,2,17.04,0.34,17.38,59.64,19.62,10.73,2.77,3.54,79.60
2451174,74275,134,261,7962,5351,96,193,18840,623,294,1,830,20,1,1,220,35,908.25,72.66,980.91,22.09,34.65,871.92,1.45,34.88,129.40
2451102,37296,142,261,7962,5351,96,787,3975,49,168,1,133,5,1,1,220,52,623.48,56.11,679.59,42.75,1246.96,224.45,243.40,155.63,1345.82
2451255,66811,146,388,5408,6956,440,918,15855,319,447,1,200,11,1,1,221,62,4851.50,97.03,4948.53,98.69,0.00,2765.35,876.18,1209.97,195.72
2451184,64639,46,509,3978,3343,260,61,6376,2195,287,1,839,17,1,1,223,17,235.45,9.41,244.86,2.01,278.97,209.55,11.39,14.51,290.39
2451157,15515,56,509,3978,3343,260,292,8409,1645,377,1,821,13,1,1,223,33,661.98,59.57,721.55,46.29,1143.78,562.68,15.88,83.42,1249.64
2451132,61981,94,231,7920,3057,23,98,11852,2905,149,1,147,1,1,1,225,12,147.12,0.00,147.12,85.15,91.92,139.76,1.03,6.33,177.07
2451142,52929,130,302,6319,2728,194,149,6179,4904,153,1,219,20,1,1,226,16,75.52,3.02,78.54,89.75,23.52,15.10,13.29,47.13,116.29
2451202,78541,134,746,16766,2074,338,792,2240,3625,89,1,116,14,1,1,230,73,2501.71,75.05,2576.76,32.38,5965.56,1976.35,283.69,241.67,6072.99
2451133,46497,164,746,16766,2074,338,386,12383,535,15,1,805,2,1,1,230,7,256.41,10.25,266.66,15.29,358.96,125.64,1.30,129.47,384.50
2451144,26888,158,746,16766,2074,338,624,2155,7070,53,1,120,15,1,1,230,14,356.58,21.39,377.97,4.39,1902.18,278.13,44.71,33.74,1927.96
2451152,27288,38,746,16766,2074,338,988,4093,4349,172,1,184,14,1,1,230,10,126.00,1.26,127.26,70.53,230.10,42.84,18.29,64.87,301.89
2451193,44790,98,12,2353,598,291,74,12244,446,260,1,264,15,1,1,231,60,113.40,7.93,121.33,76.79,568.80,74.84,21.20,17.36,653.52
2451141,48569,92,12,2353,598,291,12,2353,3132,291,1,276,12,1,1,231,18,1064.52,53.22,1117.74,33.88,59.04,149.03,485.20,430.29,146.14
2451194,66829,118,532,6144,155,43,315,4502,7138,75,1,235,7,1,1,232,38,2080.50,124.83,2205.33,67.03,3587.20,1352.32,713.61,14.57,3779.06
2451138,74829,127,888,6726,4235,85,991,1542,2462,162,1,226,2,1,1,233,8,438.48,4.38,442.86,85.00,40.72,403.40,16.48,18.60,130.10
2451234,22921,152,981,546,782,406,580,9205,6018,335,1,179,6,1,1,234,10,79.20,1.58,80.78,28.82,30.40,20.59,40.44,18.17,60.80
2451225,14678,64,981,546,782,406,401,4325,6500,230,1,221,6,1,1,234,13,26.26,2.10,28.36,16.69,202.15,1.05,17.14,8.07,220.94
2451136,56006,73,981,546,782,406,43,11667,2420,286,1,207,5,1,1,234,3,333.45,6.66,340.11,60.83,115.59,310.10,20.31,3.04,183.08
2451189,61407,134,65,18524,2335,170,420,1869,3726,339,1,283,11,1,1,235,20,646.60,6.46,653.06,42.79,299.00,122.85,356.15,167.60,348.25
2451185,80200,148,65,18524,2335,170,373,5419,402,228,1,226,19,1,1,235,83,1101.41,33.04,1134.45,25.27,1127.14,198.25,90.31,812.85,1185.45
2451192,32734,110,364,2858,41,3,603,15360,3647,90,1,167,19,1,1,237,64,2723.20,136.16,2859.36,92.88,1608.96,953.12,690.33,1079.75,1838.00
2451217,43979,80,942,7338,4869,156,992,18281,6555,477,1,813,3,1,1,240,1,38.06,2.28,40.34,71.34,30.61,21.31,16.41,0.34,104.23
2451317,57703,58,942,7338,4869,156,942,7338,292,156,1,803,15,1,1,240,25,1275.50,63.77,1339.27,36.73,177.75,701.52,401.78,172.20,278.25
2451196,5901,25,942,7338,4869,156,942,7338,1826,156,1,811,18,1,1,240,39,1370.07,13.70,1383.77,48.26,520.26,452.12,486.51,431.44,582.22
2451191,3987,7,375,10990,6701,64,894,11476,6832,167,1,124,18,1,1,241,3,12.69,0.63,13.32,31.91,35.76,4.44,3.38,4.87,68.30
2451084,73196,52,375,10990,6701,64,563,885,3474,424,1,144,8,1,1,241,13,133.51,5.34,138.85,32.11,71.63,30.70,44.20,58.61,109.08
2451262,6974,124,877,3331,2706,344,162,405,5905,482,1,282,7,1,1,242,9,603.36,36.20,639.56,10.14,204.48,259.44,192.59,151.33,250.82
2451223,43677,158,373,4709,2205,321,995,7702,954,89,1,215,14,1,1,244,26,1741.22,156.70,1897.92,73.85,3343.08,1323.32,158.80,259.10,3573.63
2451284,62239,1,606,3001,627,214,806,2111,956,374,1,804,2,1,1,246,57,5450.91,218.03,5668.94,99.72,2443.59,2398.40,885.22,2167.29,2761.34
2451310,35419,38,684,4512,6852,236,721,16764,4667,129,1,119,8,1,1,247,27,262.17,20.97,283.14,49.49,262.17,125.84,103.61,32.72,332.63
2451302,67701,115,684,4512,6852,236,748,9202,6632,41,1,838,1,1,1,247,48,3622.08,108.66,3730.74,68.64,2256.96,1702.37,1036.64,883.07,2434.26
2451224,44014,121,19,2905,1790,499,895,18926,3615,11,1,133,12,1,1,253,82,1990.14,159.21,2149.35,25.06,1437.46,1154.28,267.47,568.39,1621.73
2451205,16008,43,687,18822,3564,326,809,11140,4311,451,1,173,5,1,1,254,9,372.87,14.91,387.78,83.74,697.14,137.96,9.39,225.52,795.79
2451317,43853,109,230,4446,7006,294,303,808,3479,342,1,294,11,1,1,255,19,217.74,8.70,226.44,75.13,902.50,124.11,26.21,67.42,986.33
2451171,46427,157,230,4446,7006,294,230,4446,3414,294,1,299,12,1,1,255,4,276.44,13.82,290.26,58.11,110.56,41.46,84.59,150.39,182.49
2451251,24047,82,876,3984,4780,32,858,132,450,296,1,178,1,1,1,256,9,507.06,35.49,542.55,67.43,38.25,344.80,32.45,129.81,141.17
2451212,62143,116,876,3984,4780,32,132,17358,2534,450,1,214,11,1,1,256,74,1098.16,87.85,1186.01,30.90,712.62,593.00,469.79,35.37,831.37
2451157,71185,64,,,,430,746,6509,5156,458,,270,17,1,1,259,1,98.71,,103.64,,,,,5.04,
2451264,6747,134,760,13003,2438,430,760,13003,5894,430,1,174,16,1,1,259,10,499.40,19.97,519.37,24.80,431.30,134.83,113.01,251.56,476.07
2451256,47177,158,760,13003,2438,430,501,15545,517,48,1,899,20,1,1,259,1,55.97,3.35,59.32,35.29,38.48,47.57,4.28,4.12,77.12
2451252,41869,4,,2655,1389,,,,,,,187,20,,1,260,34,,8.53,179.21,97.64,1594.60,,31.01,,
2451189,1226,10,602,2655,1389,306,220,4411,2113,15,1,226,14,1,1,260,21,1056.30,63.37,1119.67,49.80,518.49,549.27,446.18,60.85,631.66
2451172,52369,160,,8028,170,464,979,17405,6016,472,,,,1,1,261,7,131.74,,,,,9.22,,61.26,
2451308,28847,34,197,3021,4677,217,501,13582,1381,297,1,144,19,1,1,262,22,1784.64,89.23,1873.87,6.95,584.54,1766.79,2.49,15.36,680.72
2451239,69802,32,220,14337,94,478,751,12594,6297,115,1,121,15,1,1,265,17,43.52,3.04,46.56,9.83,18.87,42.64,0.73,0.15,31.74
2451254,38620,133,300,7611,1097,19,287,18875,512,421,1,947,8,1,1,269,76,4600.28,92.00,4692.28,29.08,820.80,4370.26,128.81,101.21,941.88
2451272,60853,88,307,9867,5890,58,493,10533,4131,246,1,279,5,1,1,270,27,991.98,69.43,1061.41,8.42,361.80,99.19,651.73,241.06,439.65
2451317,65293,100,307,9867,5890,58,952,5020,4100,388,1,904,12,1,1,270,5,71.20,4.98,76.18,42.87,166.10,20.64,2.02,48.54,213.95
2451253,62587,152,421,6473,574,374,232,16095,3339,291,1,966,7,1,1,274,55,7768.75,77.68,7846.43,38.77,264.55,1320.68,6319.10,128.97,381.00
2451103,80402,154,25,10097,2129,234,763,15408,3779,218,1,156,8,1,1,275,11,1341.23,107.29,1448.52,5.49,167.64,818.15,512.61,10.47,280.42
2451327,40934,40,392,8871,6685,208,492,18024,2058,360,1,193,6,1,1,276,31,794.84,63.58,858.42,46.32,60.45,389.47,368.88,36.49,170.35
2451126,75491,34,392,8871,6685,208,740,12138,1198,337,1,363,14,1,1,276,25,799.25,47.95,847.20,53.76,1388.00,383.64,128.83,286.78,1489.71
2451171,62307,43,392,,6685,,699,,,,,210,,,,276,53,7767.68,621.41,8389.09,1.93,3009.87,,1724.42,2936.19,3633.21
2451209,80196,49,571,4484,1173,174,154,2066,2632,26,1,874,15,1,1,277,74,780.70,39.03,819.73,15.46,1529.58,31.22,741.98,7.50,1584.07
2451187,64787,44,866,17703,261,182,265,10790,4630,70,1,950,17,1,1,278,20,92.00,2.76,94.76,33.18,51.40,54.28,29.04,8.68,87.34
2451159,67380,55,216,10408,2375,278,763,16150,712,398,1,406,16,1,1,279,27,3443.04,0.00,3443.04,37.78,1904.58,3270.88,99.85,72.31,1942.36
2451295,43601,152,15,7997,2339,54,949,8850,2250,81,1,170,7,1,1,280,50,427.00,38.43,465.43,4.04,163.00,17.08,381.22,28.70,205.47
2451336,27591,112,11,4508,3613,14,11,4508,7052,14,1,213,14,1,1,281,35,897.40,8.97,906.37,31.54,372.75,305.11,503.44,88.85,413.26
2451227,32957,172,11,4508,3613,14,11,4508,5469,14,1,996,5,1,1,281,62,355.26,14.21,369.47,11.50,347.20,63.94,20.39,270.93,372.91
2451236,31195,4,11,4508,3613,14,11,4508,228,14,1,1024,14,1,1,281,6,499.02,29.94,528.96,6.55,336.30,104.79,197.11,197.12,372.79
2451251,19877,68,826,9217,4999,462,362,1341,6254,303,1,172,17,1,1,282,3,646.11,58.14,704.25,25.48,105.33,38.76,182.20,425.15,188.95
2451225,21551,13,595,8878,5400,179,595,8878,2629,179,1,191,10,1,1,284,69,796.26,71.66,867.92,74.02,311.88,485.71,96.27,214.28,457.56
2451171,72081,20,433,10109,3833,433,527,5347,867,35,1,326,6,1,1,285,66,3921.72,313.73,4235.45,89.79,2202.42,3568.76,49.41,303.55,2605.94
2451340,63227,176,433,10109,3833,433,101,17658,4489,476,1,1037,4,1,1,285,20,2606.00,156.36,2762.36,64.51,368.40,52.12,689.54,1864.34,589.27
2451159,15242,85,433,10109,3833,433,188,6984,1364,104,1,337,17,1,1,285,6,10.56,0.21,10.77,96.09,38.82,4.75,0.63,5.18,135.12
2451277,36585,28,433,10109,3833,433,327,9047,2485,480,1,349,5,1,1,285,38,5530.52,221.22,5751.74,36.86,2246.56,3207.70,185.82,2137.00,2504.64
2451190,79502,175,998,15358,5053,104,583,6224,356,256,1,117,9,1,1,286,11,377.08,22.62,399.70,9.82,214.61,286.58,44.34,46.16,247.05
2451279,30647,163,92,17332,348,176,230,3211,6611,463,1,215,12,1,1,287,14,10.50,0.73,11.23,13.00,49.56,4.83,4.42,1.25,63.29
2451171,71242,106,497,15747,4693,244,347,12873,4416,339,1,192,8,1,1,288,8,590.56,17.71,608.27,95.59,187.44,106.30,43.58,440.68,300.74
2451189,48615,158,806,14786,2301,72,668,15360,689,90,1,362,13,1,1,289,25,905.50,54.33,959.83,86.41,87.25,769.67,124.96,10.87,227.99
2451213,40926,170,806,14786,2301,72,806,14786,5500,72,1,401,10,1,1,289,7,376.67,7.53,384.20,20.59,134.47,173.26,32.54,170.87,162.59
2451327,68435,139,785,15192,270,89,126,11212,388,291,1,126,20,1,1,291,1,2.82,0.08,2.90,21.59,2.82,1.07,1.27,0.48,24.49
2451154,2226,64,360,14518,5564,366,360,14518,5565,366,1,1036,19,1,1,295,35,1137.15,0.00,1137.15,95.83,50.05,102.34,248.35,786.46,145.88
2451345,22065,7,261,13351,4889,103,993,17873,2882,283,1,128,6,1,1,296,44,5378.56,484.07,5862.63,83.07,1977.36,3980.13,1272.57,125.86,2544.50
2451310,63595,43,320,17219,6942,153,891,13215,4942,5,1,347,1,1,1,297,66,1471.14,0.00,1471.14,97.67,2721.84,823.83,589.05,58.26,2819.51
2451309,73727,80,187,11681,1088,262,187,11681,1373,262,1,1041,7,1,1,299,64,8488.96,339.55,8828.51,40.47,3713.92,339.55,6519.52,1629.89,4093.94
2451332,31864,58,187,11681,1088,262,618,6716,6655,381,1,113,5,1,1,299,6,735.24,51.46,786.70,93.23,551.40,499.96,30.58,204.70,696.09
2451223,43920,25,187,11681,1088,262,781,6625,7133,433,1,164,13,1,1,299,8,524.64,31.47,556.11,27.44,524.64,209.85,157.39,157.40,583.55
2451170,67702,62,187,11681,1088,262,699,2847,4254,358,1,196,4,1,1,299,25,350.75,0.00,350.75,52.97,157.75,347.24,3.43,0.08,210.72
2451186,45240,124,396,7315,6739,34,103,32,1160,388,1,163,19,1,1,301,42,916.86,36.67,953.53,15.92,645.96,110.02,112.95,693.89,698.55
2451193,57856,97,190,9887,1543,296,65,14032,5466,264,1,991,4,1,1,302,17,311.61,24.92,336.53,91.94,161.67,243.05,51.42,17.14,278.53
2451210,76097,68,159,13458,2628,39,138,8351,155,326,1,125,12,1,1,304,20,496.00,9.92,505.92,68.51,42.40,491.04,3.76,1.20,120.83
2451315,50058,61,252,18439,7147,418,622,10966,5656,354,1,134,15,1,1,306,1,84.00,0.00,84.00,19.04,5.25,21.00,15.75,47.25,24.29
2451226,78641,16,956,12501,5087,329,743,12836,3778,497,1,336,8,1,1,308,7,528.08,21.12,549.20,52.53,130.34,411.90,38.33,77.85,203.99
2451232,13803,170,304,6434,3876,62,103,7698,3388,102,1,179,17,1,1,311,17,497.42,34.81,532.23,46.54,1463.02,258.65,167.13,71.64,1544.37
2451282,76123,112,901,12532,5539,358,767,10394,4712,230,1,115,4,1,1,312,29,177.19,0.00,177.19,69.42,47.56,90.36,83.35,3.48,116.98
2451247,37884,2,901,12532,5539,358,689,18053,1911,261,1,975,18,1,1,312,12,198.48,3.96,202.44,63.50,131.04,21.83,98.92,77.73,198.50
2451288,71718,37,901,12532,5539,358,550,6813,6379,228,1,110,14,1,1,312,10,1783.30,71.33,1854.63,84.18,556.10,124.83,1310.19,348.28,711.61
2451353,73516,127,901,12532,5539,358,346,10512,4274,488,1,360,3,1,1,312,31,567.30,34.03,601.33,25.25,239.32,215.57,24.62,327.11,298.60
2451247,71183,62,21,13722,5047,160,328,10766,6361,172,1,191,18,1,1,313,14,0.00,0.00,0.00,66.56,784.84,0.00,0.00,0.00,851.40
2451242,79703,152,811,,,,,9416,,,,,6,,,315,25,2855.75,142.78,,44.21,1217.75,2170.37,,486.62,
2451234,34579,134,811,792,6589,478,149,8269,5843,470,1,188,18,1,1,315,5,261.60,5.23,266.83,40.25,406.95,232.82,9.78,19.00,452.43
2451252,63077,70,299,2138,2904,383,395,9220,1502,308,1,125,6,1,1,316,1,7.64,0.30,7.94,88.97,5.27,0.68,4.24,2.72,94.54
2451299,74942,110,299,2138,2904,383,518,1494,2222,217,1,1023,8,1,1,316,4,227.48,6.82,234.30,30.93,9.28,4.54,46.81,176.13,47.03
2451287,45297,44,88,3075,7062,102,417,4562,1507,207,1,202,13,1,1,319,13,1563.90,15.63,1579.53,60.23,35.49,1266.75,196.11,101.04,111.35
2451362,76300,67,260,14357,3639,52,522,4136,3116,76,1,341,16,1,1,322,34,1020.34,61.22,1081.56,4.26,297.50,704.03,85.40,230.91,362.98
2451247,80003,154,10,7256,6253,51,882,19085,6848,206,1,1187,13,1,1,323,20,302.80,15.14,317.94,84.98,37.00,99.92,117.67,85.21,137.12
2451225,50004,100,10,7256,6253,51,967,19122,3219,207,1,193,4,1,1,323,6,7.08,0.28,7.36,12.61,4.56,3.25,0.65,3.18,17.45
2451353,44724,64,170,6522,4993,328,811,17503,1354,25,1,190,11,1,1,324,54,5988.60,0.00,5988.60,51.49,4456.62,1377.37,4519.00,92.23,4508.11
2451317,63306,158,170,6522,4993,328,743,2706,226,2,1,1103,17,1,1,324,5,8.70,0.26,8.96,40.64,87.40,4.43,3.41,0.86,128.30
2451232,47998,50,118,8485,4635,17,27,4857,4555,397,1,112,10,1,1,325,6,283.26,22.66,305.92,38.75,132.96,11.33,203.94,67.99,194.37
2451251,10436,152,104,14339,7190,433,371,5255,666,305,1,1176,9,1,1,327,8,158.56,6.34,164.90,0.94,88.96,120.50,25.11,12.95,96.24
2451302,54732,130,42,18484,5534,80,606,8338,4603,36,1,1178,2,1,1,328,1,47.51,0.00,47.51,15.68,1.50,34.68,0.25,12.58,17.18
2451165,36782,178,740,15535,2227,147,765,12856,26,412,1,346,10,1,1,330,56,4980.64,0.00,4980.64,95.11,2988.16,3237.41,644.99,1098.24,3083.27
2451334,14846,139,740,15535,2227,147,584,14335,5070,89,1,375,6,1,1,330,1,18.96,0.56,19.52,8.31,0.30,18.96,0.00,0.00,9.17
2451327,20492,136,133,6342,1848,129,936,2142,1851,364,1,1121,16,1,1,331,9,537.93,10.75,548.68,50.53,294.30,32.27,242.71,262.95,355.58
2451319,65172,28,110,6414,6327,112,14,4211,1877,479,1,377,5,1,1,333,6,135.12,4.05,139.17,11.11,152.04,77.01,24.40,33.71,167.20
2451254,48320,127,27,13203,1627,27,27,13203,817,27,1,404,13,1,1,334,17,1727.54,103.65,1831.19,17.98,1295.57,1071.07,361.05,295.42,1417.20
2451344,65813,82,27,13203,1627,27,3,13072,5518,497,1,392,8,1,1,334,68,1861.16,37.22,1898.38,68.75,116.28,167.50,1439.61,254.05,222.25
2451326,79369,26,27,,1627,,,18526,,243,1,,19,,1,334,,,18.37,,,,,,200.77,705.81
2451314,57278,14,27,13203,1627,27,999,9129,4457,321,1,368,6,1,1,334,6,604.50,30.22,634.72,14.24,372.00,163.21,273.59,167.70,416.46
2451236,52544,44,27,13203,1627,27,942,13257,1469,456,1,124,10,1,1,334,37,129.87,9.09,138.96,25.25,260.11,58.44,41.42,30.01,294.45
2451345,21622,55,8,4556,5735,475,596,4933,1226,442,1,214,16,1,1,336,7,485.10,24.25,509.35,23.78,299.32,227.99,210.83,46.28,347.35
2451218,55625,43,30,6917,2516,359,653,8056,3624,268,1,361,7,1,1,339,8,193.12,0.00,193.12,87.61,10.16,131.32,12.36,49.44,97.77
2451248,27267,104,910,8138,5581,493,33,17556,4637,403,1,185,15,1,1,341,4,325.72,0.00,325.72,84.70,171.80,241.03,3.38,81.31,256.50
2451314,68950,92,519,17926,398,361,223,18205,6539,484,1,342,5,1,1,342,29,2247.79,0.00,2247.79,37.13,27.55,1213.80,516.99,517.00,64.68
2451332,61344,166,519,17926,398,361,74,4442,4441,129,1,1136,7,1,1,342,17,919.53,55.17,974.70,3.72,298.86,763.20,12.50,143.83,357.75
2451366,27741,118,519,17926,398,361,246,3935,6814,496,1,193,15,1,1,342,31,15.19,1.21,16.40,45.88,246.14,4.40,2.80,7.99,293.23
2451232,76470,61,658,11591,3772,82,311,10272,3231,357,1,179,1,1,1,346,6,86.88,6.95,93.83,45.86,15.66,82.53,0.69,3.66,68.47
2451285,67665,176,658,11591,3772,82,18,7883,5550,93,1,1138,15,1,1,346,12,29.76,2.08,31.84,14.40,10.20,3.27,7.94,18.55,26.68
2451288,61123,74,658,11591,3772,82,841,10,684,430,1,393,8,1,1,346,8,540.16,48.61,588.77,4.58,151.92,118.83,366.55,54.78,205.11
2451396,58896,26,447,173,132,251,429,10518,6729,143,1,355,11,1,1,347,9,38.61,3.47,42.08,71.64,39.87,1.54,28.54,8.53,114.98
2451242,33171,50,547,14385,1462,196,268,13436,1304,324,1,131,18,1,1,348,9,184.86,16.63,201.49,13.16,46.17,3.69,81.52,99.65,75.96
2451312,24429,20,915,1672,1101,347,38,5150,2799,280,1,154,16,1,1,350,63,1168.02,11.68,1179.70,73.89,7299.81,969.45,148.92,49.65,7385.38
2451220,45633,176,915,1672,1101,347,251,18434,7027,235,1,370,12,1,1,350,17,1660.56,33.21,1693.77,52.99,986.68,1444.68,15.11,200.77,1072.88
2451334,32766,61,671,1405,6547,85,777,1744,4808,193,1,1081,8,1,1,353,9,1089.00,10.89,1099.89,73.39,99.00,381.15,396.39,311.46,183.28
2451325,27462,176,671,1405,6547,,,,2039,439,1,194,6,1,1,353,10,83.70,,,58.74,,67.79,,6.69,133.03
2451282,33537,116,728,2745,4162,279,349,5625,1166,347,1,1168,10,1,1,355,9,213.48,2.13,215.61,22.52,28.44,108.87,62.76,41.85,53.09
2451219,74029,79,393,8492,4734,181,739,10855,5930,270,1,154,4,1,1,357,57,1329.81,26.59,1356.40,28.69,286.71,904.27,357.45,68.09,341.99
2451273,60131,28,393,8492,4734,181,6,8702,6966,449,1,1146,17,1,1,357,16,136.16,5.44,141.60,50.16,78.08,126.62,6.20,3.34,133.68
2451380,7748,82,23,18233,6276,426,97,15153,4974,164,1,191,15,1,1,361,36,2827.80,226.22,3054.02,50.07,919.80,1611.84,875.49,340.47,1196.09
2451322,43296,4,315,11369,1190,304,401,820,6059,49,1,212,18,1,1,368,13,106.34,0.00,106.34,8.34,409.37,41.47,50.59,14.28,417.71
2451363,22100,178,106,16148,1454,428,152,16597,1426,294,1,379,4,1,1,369,48,443.52,17.74,461.26,76.19,443.52,328.20,114.16,1.16,537.45
2451334,47870,97,437,5409,3094,199,748,5422,5258,17,1,366,20,1,1,374,14,648.62,12.97,661.59,85.05,440.58,252.96,217.61,178.05,538.60
2451378,50299,172,437,5409,3094,199,561,19180,2140,407,1,336,5,1,1,374,1,57.68,4.61,62.29,64.63,22.92,40.37,11.77,5.54,92.16
