loan_id,customer_id,loan_date,amount,interest_rate,term_months,status
L002720,C049169,2020-02-01,371505.74,12.12,36,paid
L002721,C041011,2021-06-07,235650.89,13.42,60,active
L002722,C048387,2020-04-24,1448.32,5.84,36,active
L002723,C034955,2021-08-27,110185.17,13.72,60,defaulted
L002724,C011975,2020-06-04,414294.88,6.46,24,active
L002725,C002252,2022-01-16,441033.14,12.66,48,paid
L002726,C000536,2022-12-02,286519.98,5.53,60,active
L002727,C017756,2022-11-10,390458.68,14.1,12,active
L002728,C035440,2020-04-04,41970.04,10.48,24,defaulted
L002729,C048650,2023-01-01,20069.08,4.1,60,paid
L002730,C018331,2021-01-23,438494.26,4.11,48,paid
L002731,C045293,2022-12-31,210412.73,12.39,24,paid
L002732,C027624,2023-02-27,365351.3,3.62,12,active
L002733,C001027,2020-02-19,131592.69,11.43,24,active
L002734,C000099,2020-09-30,72504.03,7.11,48,active
L002735,C030003,2022-05-12,492023.99,12.71,24,active
L002736,C032356,2021-02-16,342175.51,13.6,48,active
L002737,C049077,2021-10-17,6362.15,4.61,60,active
L002738,C011592,2020-11-21,412164.68,9.73,12,active
L002739,C005090,2020-03-21,487816.04,14.82,48,active
L002740,C020040,2020-07-08,62840.02,6.69,36,defaulted
L002741,C049135,2021-10-28,102433.03,11.6,24,defaulted
L002742,C040088,2020-04-27,184461.02,5.21,24,active
L002743,C035632,2020-12-28,23065.82,13.77,60,active
L002744,C046188,2021-11-07,285549.31,12.42,36,active
L002745,C023524,2021-09-07,322019.97,9.29,48,active
L002746,C010066,2023-02-14,12024.62,4.45,36,paid
L002747,C002951,2021-02-18,326886.46,10.12,48,active
L002748,C025142,2021-11-17,285119.68,8.49,60,defaulted
L002749,C022059,2020-04-09,499634.13,5.28,60,defaulted
L002750,C029416,2021-07-11,154789.41,5.45,48,active
L002751,C009330,2022-07-19,282811.76,9.92,36,active
L002752,C008345,2021-05-28,248824.08,7.41,60,active
L002753,C007752,2020-03-06,393369.79,12.43,24,active
L002754,C007951,2021-12-03,37180.89,3.89,36,active
L002755,C009292,2021-08-21,438602.28,7.16,36,active
L002756,C049180,2022-10-23,428100.37,5.93,48,defaulted
L002757,C016497,2020-09-26,113632.27,3.71,12,active
L002758,C002340,2023-01-15,492197.73,5.01,48,defaulted
L002759,C022195,2021-04-07,175461.31,7.83,36,paid
L002760,C049991,2022-06-18,400546.84,9.85,24,defaulted
L002761,C043180,2021-03-15,109105.14,3.01,60,active
L002762,C037901,2022-06-04,452290.27,11.92,48,paid
L002763,C031218,2021-12-13,142931.9,4.32,12,active
L002764,C018112,2021-04-14,419627.15,13.48,12,active
L002765,C002110,2020-07-03,273122.09,13.81,12,active
L002766,C006472,2022-09-15,414287.59,13.51,48,defaulted
L002767,C044098,2022-12-01,354536.63,6.54,48,active
L002768,C034679,2022-08-20,317670.61,13.83,12,active
L002769,C011155,2022-09-24,61642.29,3.88,24,active
L002770,C009553,2020-02-06,402579.43,12.58,48,active
L002771,C015239,2020-08-14,284600.37,9.59,36,active
L002772,C023610,2022-01-29,350190.33,7.76,24,defaulted
L002773,C043621,2020-06-30,223017.23,5.67,48,active
L002774,C033361,2022-08-11,459382.8,14.76,12,active
L002775,C002976,2021-04-10,41057.82,11.18,60,defaulted
L002776,C044697,2021-03-13,149178.36,8.93,60,active
L002777,C013611,2022-09-25,10150.02,6.67,48,defaulted
L002778,C042749,2021-04-14,331536.44,5.28,24,active
L002779,C028644,2023-01-17,293290.87,12.53,24,active
L002780,C038210,2020-06-28,184463.54,10.55,48,active
L002781,C025639,2023-01-26,85325.89,9.2,24,active
L002782,C009054,2021-04-13,462130.76,6.83,12,paid
L002783,C001779,2021-10-15,317229.84,5.01,48,active
L002784,C038544,2021-10-20,433617.9,10.25,24,active
L002785,C011950,2022-08-18,291094.47,7.75,36,paid
L002786,C011882,2021-07-12,218701.23,13.58,60,active
L002787,C047575,2021-07-03,121155.9,9.4,60,defaulted
L002788,C044091,2021-07-07,5008.52,6.87,12,active
L002789,C049987,2021-03-11,110151.63,3.54,36,active
L002790,C006632,2023-03-24,87337.35,12.44,12,active
L002791,C038897,2020-11-20,484533.64,6.56,60,paid
L002792,C012139,2020-10-31,128749.85,10.17,36,active
L002793,C040923,2021-05-13,29258.49,4.6,60,active
L002794,C031637,2021-06-30,409905.54,13.86,60,paid
L002795,C016967,2022-03-04,290702.39,9.31,60,active
L002796,C019841,2022-02-18,48491.85,8.12,12,active
L002797,C003766,2020-09-27,152258.7,12.27,48,active
L002798,C009437,2020-07-30,16225.35,5.77,36,active
L002799,C024996,2021-12-07,226187.43,8.22,36,active
L002800,C038081,2020-06-04,151981.63,5.07,48,defaulted
L002801,C049979,2020-07-23,417008.16,14.74,48,paid
L002802,C020708,2021-10-03,390399.41,10.64,12,active
L002803,C044708,2020-08-13,246027.93,6.93,24,active
L002804,C022547,2023-03-20,284950.25,13.13,48,active
L002805,C008311,2022-09-13,364767.75,3.38,60,active
L002806,C001542,2020-06-06,297883.19,12.27,12,active
L002807,C012295,2022-01-19,113293.01,14.56,12,active
L002808,C022358,2021-07-13,200146.43,12.14,12,paid
L002809,C000157,2021-04-19,425165.92,7.58,48,active
L002810,C049559,2023-01-31,97796.99,11.08,60,active
L002811,C044323,2020-06-25,386253.48,11.6,12,active
L002812,C013506,2021-05-07,480172.16,6.89,24,paid
L002813,C033949,2020-12-19,18810.97,4.57,48,paid
L002814,C046104,2022-12-24,408785.72,14.01,24,active
L002815,C012640,2021-12-21,127573.09,7.9,24,active
L002816,C020728,2022-12-05,456680.6,10.3,12,active
L002817,C005614,2022-09-11,292382.29,11.57,24,active
L002818,C010519,2021-01-09,380312.95,14.36,24,paid
L002819,C043367,2023-01-09,365596.96,5.84,36,active
L002820,C037886,2021-06-07,292671.41,3.97,48,active
L002821,C040847,2021-08-23,63865.25,12.19,36,active
L002822,C030076,2020-09-27,137862.9,13.35,60,defaulted
L002823,C036556,2021-04-25,403446.24,3.55,24,active
L002824,C029655,2022-01-27,113468.36,4.04,36,paid
L002825,C000429,2023-04-02,2881.45,11.98,36,active
L002826,C028573,2021-06-11,23515.07,12.51,60,defaulted
L002827,C032754,2020-06-18,194179.78,5.27,48,defaulted
L002828,C036178,2022-01-11,296160.0,6.14,60,defaulted
L002829,C024356,2020-10-29,310890.93,5.87,48,defaulted
L002830,C010910,2020-12-06,70014.47,8.81,60,paid
L002831,C021447,2023-03-25,439369.05,7.82,60,defaulted
L002832,C028986,2022-05-06,3587.09,8.06,12,active
L002833,C031186,2021-05-12,406113.62,4.31,24,active
L002834,C042106,2021-01-17,260652.41,10.16,12,active
L002835,C044939,2020-10-12,210674.33,3.91,24,active
L002836,C040004,2020-04-11,495775.43,3.17,60,active
L002837,C037616,2021-07-22,386522.21,14.45,24,active
L002838,C038784,2022-12-19,160221.01,14.16,24,paid
L002839,C005502,2020-03-14,278724.15,7.5,24,defaulted
L002840,C025273,2023-02-17,159618.66,7.99,24,active
L002841,C013857,2021-01-22,10042.26,12.51,48,active
L002842,C010515,2020-11-21,383456.25,10.25,12,paid
L002843,C016686,2020-10-10,472112.67,9.69,36,active
L002844,C032184,2022-09-28,174157.84,4.09,60,paid
L002845,C007546,2021-02-18,381318.7,12.13,60,defaulted
L002846,C039785,2022-10-27,454299.16,4.45,48,paid
L002847,C028541,2021-07-04,487201.17,11.54,36,active
L002848,C033163,2021-01-29,429790.8,6.56,36,active
L002849,C006208,2020-04-18,236404.66,14.57,48,active
L002850,C007849,2020-07-19,173632.09,12.04,12,defaulted
L002851,C009558,2023-01-15,8238.53,14.63,24,paid
L002852,C009737,2022-01-26,287810.38,9.34,60,active
L002853,C001958,2020-07-29,324779.79,4.5,60,paid
L002854,C045701,2022-04-15,468046.76,11.17,24,paid
L002855,C026511,2022-07-12,162882.31,10.13,12,paid
L002856,C021360,2021-03-15,485973.37,14.47,48,paid
L002857,C044984,2022-06-30,32563.56,10.14,24,active
L002858,C012561,2020-05-03,279616.36,12.55,12,active
L002859,C010017,2020-05-08,337793.55,12.35,36,paid
L002860,C034692,2020-08-26,18769.17,6.09,48,defaulted
L002861,C008330,2021-03-17,389521.87,6.44,48,paid
L002862,C040319,2020-02-06,102527.82,7.73,48,active
L002863,C013925,2021-07-29,154528.31,11.94,24,defaulted
L002864,C006021,2020-11-18,458703.47,14.25,12,active
L002865,C007491,2020-11-17,312383.55,3.37,60,defaulted
L002866,C027579,2022-05-24,200484.71,5.94,24,paid
L002867,C023226,2022-04-16,37950.62,4.93,36,paid
L002868,C005301,2023-02-01,152666.47,13.41,24,active
L002869,C029793,2022-01-07,254172.14,14.94,60,active
L002870,C019123,2020-01-01,390002.89,3.31,12,paid
L002871,C037159,2022-11-05,86134.8,11.68,24,active
L002872,C008404,2021-09-28,108565.23,13.37,48,active
L002873,C004736,2021-03-07,447804.7,14.25,24,active
L002874,C033031,2022-12-24,424452.84,5.39,24,paid
L002875,C036250,2022-11-02,223155.51,8.65,36,paid
L002876,C018637,2020-06-22,35146.13,14.8,12,paid
L002877,C032445,2021-02-07,229830.4,12.2,12,active
L002878,C045097,2021-12-03,272178.08,3.92,24,defaulted
L002879,C049010,2022-04-27,247882.66,4.01,48,active
L002880,C017760,2021-11-28,402124.24,4.29,36,active
L002881,C027749,2022-07-27,483425.86,7.09,36,active
L002882,C040277,2021-06-05,160507.56,14.96,12,active
L002883,C039873,2022-12-29,264213.46,9.28,12,paid
L002884,C030791,2023-02-01,464876.08,5.45,48,active
L002885,C009330,2020-08-19,222215.91,14.03,24,active
L002886,C045205,2021-01-30,455703.67,9.96,48,active
L002887,C007005,2023-04-04,65432.25,11.59,12,active
L002888,C017135,2022-06-19,172989.22,7.52,36,active
L002889,C025040,2021-05-12,366627.1,12.78,24,active
L002890,C006025,2022-01-18,365932.95,11.96,48,defaulted
L002891,C037389,2021-01-23,356082.8,10.96,48,active
L002892,C046884,2022-08-05,105682.05,6.8,12,active
L002893,C037929,2023-01-09,226531.29,10.73,12,active
L002894,C027551,2020-02-03,221527.59,12.66,60,active
L002895,C006876,2023-02-14,147305.95,11.73,60,active
L002896,C042766,2021-03-27,361521.75,11.97,12,paid
L002897,C045684,2023-03-31,25235.85,3.28,24,active
L002898,C030877,2021-02-16,63634.53,6.85,12,active
L002899,C004326,2022-07-12,439241.76,5.39,12,paid
L002900,C046468,2022-04-08,45372.95,11.21,24,active
L002901,C043037,2020-11-04,319604.04,7.39,36,active
L002902,C049563,2022-06-02,359122.58,5.16,36,defaulted
L002903,C044877,2020-06-14,297691.15,6.29,24,active
L002904,C025046,2020-05-07,328994.45,12.96,36,active
L002905,C031007,2020-09-05,368154.2,6.93,24,active
L002906,C010787,2022-02-16,4243.29,11.41,12,paid
L002907,C008968,2022-11-10,257026.01,9.96,24,defaulted
L002908,C018688,2022-08-04,282349.09,5.02,48,active
L002909,C007025,2022-09-17,142827.24,7.72,48,defaulted
L002910,C041414,2021-03-26,293730.69,13.13,24,paid
L002911,C008152,2020-12-24,347442.59,14.27,24,paid
L002912,C022712,2022-11-03,464813.35,13.94,60,active
L002913,C000806,2021-07-05,245465.23,5.73,60,defaulted
L002914,C038003,2021-09-02,390157.66,5.22,12,active
L002915,C016624,2021-06-03,49675.14,11.41,12,defaulted
L002916,C045046,2021-07-18,144969.16,9.17,36,active
L002917,C036620,2021-02-13,286448.55,4.67,36,active
L002918,C001993,2022-12-23,272779.19,11.97,60,active
L002919,C011417,2021-10-25,188388.55,13.93,24,defaulted
L002920,C032813,2021-10-04,287503.97,11.28,24,active
L002921,C017120,2022-11-23,452428.68,3.91,12,paid
L002922,C043935,2022-07-10,467200.57,11.88,12,active
L002923,C036657,2021-05-25,173314.42,7.94,36,defaulted
L002924,C018162,2022-03-18,245840.52,4.15,36,defaulted
L002925,C015725,2020-02-09,238291.23,7.47,60,paid
L002926,C020997,2021-07-14,391863.72,8.05,24,active
L002927,C004275,2021-10-15,263860.21,13.66,36,paid
L002928,C029489,2022-12-10,68739.2,14.7,36,paid
L002929,C021144,2020-04-07,57185.53,9.6,48,active
L002930,C048743,2022-02-27,7349.06,7.59,24,defaulted
L002931,C016703,2020-03-02,54948.06,11.7,36,active
L002932,C018593,2020-03-27,105224.04,5.96,36,active
L002933,C041653,2020-12-19,132774.89,13.65,48,defaulted
L002934,C008443,2021-09-11,49038.23,10.11,60,active
L002935,C012729,2020-10-23,135629.42,4.23,60,defaulted
L002936,C028449,2020-12-11,24703.15,5.41,60,active
L002937,C038350,2021-10-22,422756.37,9.3,24,active
L002938,C024301,2020-11-25,272537.8,6.74,36,active
L002939,C021930,2022-05-26,475972.22,14.29,60,active
L002940,C035237,2022-03-14,28706.74,8.75,36,active
L002941,C047215,2023-02-03,452064.27,11.54,60,active
L002942,C041232,2021-09-14,493947.28,6.45,36,active
L002943,C009900,2022-11-04,204926.4,5.05,60,active
L002944,C029364,2022-08-30,365856.77,11.27,24,defaulted
L002945,C043109,2022-08-20,329556.5,6.38,12,paid
L002946,C000762,2022-03-26,192286.15,12.29,12,active
L002947,C017842,2022-10-06,2550.39,4.09,24,active
L002948,C014643,2022-11-10,462927.51,6.91,60,active
L002949,C020221,2022-12-24,170199.25,10.12,48,active
L002950,C020033,2020-07-21,270832.39,7.5,36,active
L002951,C041737,2022-05-24,419604.3,13.94,36,paid
L002952,C035364,2022-05-17,238272.04,7.06,24,defaulted
L002953,C022131,2021-03-04,166773.76,4.87,12,active
L002954,C007438,2021-08-07,138711.49,5.19,24,active
L002955,C047835,2023-02-26,494648.98,10.18,24,active
L002956,C005739,2022-05-16,102144.0,7.85,60,defaulted
L002957,C005104,2023-03-17,490172.93,14.47,24,paid
L002958,C028814,2021-11-22,262946.41,14.92,12,active
L002959,C007915,2022-08-22,344554.68,14.29,60,active
L002960,C036085,2022-07-04,286599.29,14.42,36,defaulted
L002961,C038436,2023-03-13,180599.0,9.5,60,paid
L002962,C032372,2020-10-31,137136.51,9.45,48,defaulted
L002963,C044791,2022-06-27,160318.96,4.62,60,active
L002964,C039496,2021-04-27,353746.2,8.28,12,active
L002965,C009726,2021-08-23,192201.29,7.76,36,active
L002966,C041314,2020-04-15,334148.13,11.57,36,active
L002967,C013234,2021-07-09,429206.86,13.23,24,defaulted
L002968,C007503,2021-01-03,236037.53,3.7,24,paid
L002969,C017955,2022-04-05,349328.25,7.02,24,defaulted
L002970,C047496,2023-04-13,389869.34,9.99,24,defaulted
L002971,C031810,2020-02-18,244071.23,8.07,48,active
L002972,C009505,2020-07-01,199302.73,13.42,12,active
L002973,C026523,2020-11-05,119224.83,9.04,60,active
L002974,C045239,2022-09-25,110046.04,10.56,12,active
L002975,C030493,2021-06-03,25762.2,4.61,48,active
L002976,C019410,2022-07-30,396882.88,9.5,12,defaulted
L002977,C001211,2023-04-09,451101.2,4.97,48,active
L002978,C040031,2021-12-29,69925.9,5.6,36,defaulted
L002979,C034975,2020-07-17,162043.14,14.43,48,defaulted
L002980,C025210,2022-11-23,329232.65,5.45,60,active
L002981,C040262,2020-11-27,117774.06,6.26,48,defaulted
L002982,C044012,2020-03-29,348903.61,10.47,48,defaulted
L002983,C010447,2021-02-19,238694.39,9.4,48,active
L002984,C040479,2022-09-19,220110.0,5.63,48,defaulted
L002985,C012186,2021-09-18,169656.66,12.62,36,paid
L002986,C023712,2022-09-25,305540.95,9.66,12,active
L002987,C033248,2023-02-02,167541.05,8.08,12,active
L002988,C002442,2021-01-19,442728.53,6.77,36,active
L002989,C032056,2022-08-16,159010.04,10.37,48,active
L002990,C035192,2021-02-03,434236.61,5.89,12,active
L002991,C024481,2020-12-12,42753.39,4.18,48,active
L002992,C047699,2020-09-13,350697.91,10.54,60,active
L002993,C021413,2022-11-20,390197.06,3.16,24,paid
L002994,C010796,2021-08-14,417547.86,4.73,12,active
L002995,C033995,2021-07-16,59328.45,4.78,60,defaulted
L002996,C033658,2022-08-05,283461.18,14.44,36,paid
L002997,C022142,2021-08-18,176147.11,11.11,60,defaulted
L002998,C009438,2020-08-28,94975.25,6.34,36,active
L002999,C008830,2022-06-01,391075.27,12.22,24,active
L003000,C012664,2022-04-08,297990.75,8.51,36,defaulted
L003001,C010493,2021-09-16,476402.8,13.1,48,defaulted
L003002,C013617,2022-05-03,257580.8,9.08,12,active
L003003,C028050,2022-02-15,328725.67,7.07,36,active
L003004,C017453,2020-06-08,482031.43,11.14,48,active
L003005,C002385,2020-05-01,132329.18,11.97,36,active
L003006,C012166,2022-04-29,368854.27,3.65,12,defaulted
L003007,C029468,2022-12-23,148261.32,4.86,48,active
L003008,C041515,2020-06-02,219014.85,12.99,12,active
L003009,C010583,2022-01-16,303303.53,10.18,48,active
L003010,C047978,2020-03-10,465602.69,14.42,36,active
L003011,C010026,2022-04-05,329200.96,8.76,48,paid
L003012,C033395,2021-08-01,476065.77,5.04,36,defaulted
L003013,C040472,2023-03-23,480190.92,7.39,48,active
L003014,C024765,2021-12-31,57931.66,8.25,36,active
L003015,C039934,2020-08-25,370415.21,10.93,60,active
L003016,C008860,2023-03-26,225441.43,7.28,24,paid
L003017,C019484,2020-10-22,73763.55,12.02,24,active
L003018,C048244,2020-04-26,381234.67,5.09,24,paid
L003019,C043390,2021-06-05,319687.76,14.23,36,paid
L003020,C003361,2023-03-11,285670.49,7.57,60,active
L003021,C039601,2021-04-08,248614.12,10.43,48,paid
L003022,C045298,2020-08-01,12563.13,4.28,60,active
L003023,C003655,2022-03-02,250688.72,12.17,36,active
L003024,C007554,2020-04-13,88804.32,14.81,36,active
L003025,C007933,2022-04-01,228087.7,4.64,36,active
L003026,C036605,2021-05-20,36991.58,3.98,36,paid
L003027,C022660,2022-09-06,232734.77,6.12,36,paid
L003028,C003234,2023-02-02,34081.96,8.65,48,active
L003029,C022188,2021-09-20,343092.51,8.49,12,active
L003030,C015724,2022-05-10,264815.14,11.86,12,active
L003031,C028346,2023-02-26,307455.65,7.98,60,defaulted
L003032,C003754,2021-09-16,302447.91,12.75,24,active
L003033,C044168,2020-07-12,61781.19,13.14,48,active
L003034,C007480,2020-11-13,408253.65,10.65,12,paid
L003035,C034803,2022-02-06,355944.74,5.46,36,active
L003036,C000309,2020-05-07,463287.02,3.71,24,active
L003037,C038732,2022-12-31,8358.15,8.62,48,paid
L003038,C011897,2023-03-01,221273.78,12.73,36,active
L003039,C017230,2020-04-04,71954.97,4.67,48,paid
L003040,C034141,2020-07-10,172886.08,8.69,24,active
L003041,C021511,2020-08-07,200077.84,7.15,36,defaulted
L003042,C001026,2021-06-17,257926.96,3.5,36,active
L003043,C032450,2021-10-04,85936.77,6.56,60,active
L003044,C024440,2021-12-26,71331.15,6.83,48,defaulted
L003045,C011689,2021-08-19,47825.08,7.95,48,active
L003046,C042098,2022-12-28,21252.38,7.63,24,active
L003047,C048376,2023-02-26,219173.38,10.54,60,active
L003048,C029966,2022-11-14,329505.62,13.08,48,defaulted
L003049,C049999,2021-03-12,93063.83,13.51,24,active
L003050,C005455,2021-06-26,236510.73,8.16,60,defaulted
L003051,C014707,2022-11-10,347539.94,6.44,24,active
L003052,C031647,2022-03-02,54567.84,13.84,24,active
L003053,C008623,2020-04-07,349316.12,9.57,24,paid
L003054,C001641,2020-09-23,415515.05,4.0,24,paid
L003055,C000468,2022-06-25,276936.43,11.31,36,paid
L003056,C049230,2022-06-05,359064.39,7.19,12,paid
L003057,C005633,2021-03-26,378723.12,11.48,24,defaulted
L003058,C024905,2020-04-21,499294.06,11.71,48,defaulted
L003059,C039304,2021-10-02,415228.57,5.72,48,active
L003060,C020675,2020-04-20,288594.58,9.91,36,paid
L003061,C034102,2023-03-28,54289.55,10.44,24,active
L003062,C048930,2020-10-17,77937.94,12.37,60,active
L003063,C028850,2021-09-10,156540.68,7.36,48,paid
L003064,C017699,2021-09-26,25216.44,13.53,24,paid
L003065,C009815,2021-09-16,262927.77,3.25,48,defaulted
L003066,C011463,2022-09-23,55797.35,10.39,60,active
L003067,C038892,2021-01-17,116602.05,4.01,24,paid
L003068,C026780,2022-03-10,301919.39,8.58,12,active
L003069,C049552,2022-12-12,357006.28,11.74,12,active
L003070,C006890,2022-12-24,418319.3,8.49,36,active
L003071,C045126,2022-06-01,375346.03,12.85,48,defaulted
L003072,C028567,2020-06-06,26532.47,8.31,60,active
L003073,C049772,2023-03-03,86674.67,3.41,48,paid
L003074,C011991,2022-01-22,179181.16,8.86,48,paid
L003075,C040327,2022-09-13,490305.94,10.24,24,paid
L003076,C021727,2022-11-10,467279.9,7.98,60,defaulted
L003077,C011513,2022-08-06,43628.95,14.24,12,active
L003078,C032269,2020-11-11,2378.01,3.35,48,active
L003079,C009661,2020-08-14,412410.28,6.25,12,active
L003080,C010050,2020-05-25,140271.76,4.23,12,paid
L003081,C042075,2021-08-22,227433.41,14.14,24,paid
L003082,C019860,2020-04-28,307380.86,7.44,36,active
L003083,C045997,2021-08-21,190760.84,4.82,24,active
L003084,C005096,2021-06-07,426174.26,4.89,12,defaulted
L003085,C005074,2021-04-03,481754.82,7.64,12,active
L003086,C001471,2020-09-10,72556.76,7.76,12,paid
L003087,C035336,2021-04-27,206305.69,4.61,36,active
L003088,C048291,2021-06-15,3352.06,7.33,48,active
L003089,C037817,2020-07-18,227290.03,8.42,48,active
L003090,C035347,2021-11-10,308113.07,11.27,12,defaulted
L003091,C001086,2023-02-06,429238.42,6.95,60,active
L003092,C019884,2022-03-28,392136.82,12.81,60,paid
L003093,C015043,2022-05-07,190225.09,5.49,36,active
L003094,C042967,2022-02-15,389541.72,14.9,12,defaulted
L003095,C017998,2022-05-09,88368.06,11.69,60,paid
L003096,C011414,2022-05-14,84361.16,14.01,12,active
L003097,C008773,2022-11-16,207550.01,10.13,36,active
L003098,C021143,2023-03-25,253562.75,12.59,12,active
L003099,C029417,2022-07-23,239106.15,11.98,12,active
L003100,C008532,2020-06-28,22428.06,10.91,12,active
L003101,C027205,2021-01-16,138322.92,7.28,36,active
L003102,C013698,2021-08-10,191237.63,3.63,60,paid
L003103,C031134,2020-03-05,126039.11,4.86,36,active
L003104,C041974,2020-11-03,263523.45,12.16,24,active
L003105,C044218,2020-03-29,102227.69,11.63,36,active
L003106,C008739,2022-07-03,190328.15,3.24,24,active
L003107,C016125,2021-02-11,369128.91,4.27,24,defaulted
L003108,C015202,2020-07-29,4212.5,11.0,24,defaulted
L003109,C031417,2022-12-25,291370.92,3.29,12,defaulted
L003110,C019798,2020-03-26,376019.47,5.18,48,defaulted
L003111,C016827,2021-01-21,66091.43,8.33,60,active
L003112,C024933,2020-04-27,88852.09,5.83,36,active
L003113,C042551,2021-07-13,492353.77,7.47,60,defaulted
L003114,C049359,2020-10-03,48303.06,11.9,36,defaulted
L003115,C019910,2020-02-27,437848.93,12.38,36,active
L003116,C020170,2022-07-24,215761.6,12.14,48,active
L003117,C006277,2020-02-21,164898.26,14.9,24,defaulted
L003118,C005236,2023-03-29,495869.58,6.97,12,active
L003119,C044659,2020-10-28,238907.16,11.58,36,active
L003120,C010653,2022-05-31,359087.16,13.55,12,paid
L003121,C045947,2020-10-09,244409.53,10.46,60,defaulted
L003122,C013648,2020-01-27,270186.91,4.13,24,active
L003123,C004722,2021-04-21,381128.26,7.57,12,defaulted
L003124,C039333,2021-06-28,240273.93,7.09,36,active
L003125,C028219,2022-01-12,46600.77,3.51,24,active
L003126,C022526,2020-09-09,145367.21,3.22,60,active
L003127,C046407,2022-03-10,247520.95,6.99,36,active
L003128,C012714,2020-02-03,90536.86,8.01,48,active
L003129,C012662,2022-09-06,424253.43,14.65,12,paid
L003130,C049581,2020-02-27,278481.06,8.18,60,active
L003131,C039919,2022-08-25,409706.6,11.58,36,defaulted
L003132,C001881,2023-01-26,74903.96,12.19,36,active
L003133,C040792,2022-02-12,489618.73,11.96,24,defaulted
L003134,C030173,2022-08-30,496886.36,5.19,12,defaulted
L003135,C026162,2021-02-07,240994.16,8.79,36,paid
L003136,C018995,2020-04-30,402531.07,3.34,24,paid
L003137,C015091,2021-02-02,379778.8,5.29,12,active
L003138,C001937,2022-02-12,26691.52,12.27,48,paid
L003139,C034447,2020-09-27,269734.17,6.02,48,active
L003140,C006081,2021-03-07,38744.87,8.03,60,paid
L003141,C030588,2020-08-04,89655.27,3.56,48,paid
L003142,C018223,2022-12-06,244044.33,13.24,24,active
L003143,C030954,2022-03-04,139349.25,7.09,48,active
L003144,C030275,2020-09-04,342579.47,12.31,48,defaulted
L003145,C024750,2021-11-25,477192.25,4.02,24,active
L003146,C040270,2022-02-13,83960.25,9.12,24,active
L003147,C028535,2021-05-27,79778.07,11.54,24,active
L003148,C014395,2020-01-30,379629.86,3.57,60,active
L003149,C041427,2020-03-10,282988.94,10.32,12,paid
L003150,C035289,2021-05-12,339292.72,15.0,24,active
L003151,C036582,2023-03-28,156926.86,4.31,60,active
L003152,C022127,2020-09-15,133604.55,13.46,48,active
L003153,C043730,2021-12-22,79128.06,11.33,12,active
L003154,C021700,2020-07-05,145211.02,13.12,12,active
L003155,C026643,2022-02-17,149463.11,11.35,12,paid
L003156,C049564,2021-07-28,126660.21,11.79,24,defaulted
L003157,C046197,2022-04-25,250038.76,13.76,24,paid
L003158,C046444,2020-12-09,406197.0,6.29,60,paid
L003159,C006089,2022-02-15,445658.41,10.82,12,active
L003160,C034921,2020-02-23,406355.33,14.65,12,paid
L003161,C006534,2021-01-20,275651.69,13.3,60,active
L003162,C039005,2021-06-08,111939.9,7.13,12,defaulted
L003163,C040934,2021-02-20,6474.74,5.45,12,active
L003164,C029629,2021-12-13,91569.21,9.85,60,active
L003165,C026633,2020-08-22,213849.28,11.16,36,active
L003166,C038121,2021-03-19,421619.46,9.75,48,paid
L003167,C013341,2022-07-09,53161.81,8.64,12,paid
L003168,C001415,2020-03-09,326140.0,12.68,12,active
L003169,C030872,2021-11-25,365821.44,6.0,60,paid
L003170,C008727,2022-07-04,182213.19,3.9,24,defaulted
L003171,C020712,2021-07-13,485391.32,3.41,12,defaulted
L003172,C038371,2020-09-06,319827.65,12.03,24,active
L003173,C026971,2023-03-31,498324.57,4.45,60,active
L003174,C010971,2020-08-17,167438.92,11.07,36,defaulted
L003175,C030715,2021-07-06,262461.51,10.95,60,active
L003176,C029310,2022-04-28,87411.86,10.3,12,active
L003177,C004029,2022-12-07,307957.31,13.51,24,active
L003178,C046419,2021-04-22,278470.68,5.24,48,active
L003179,C010993,2021-07-02,305246.85,11.49,36,active
L003180,C043641,2023-01-02,144443.88,14.21,36,active
L003181,C003162,2021-06-20,1228.14,13.43,48,active
L003182,C008907,2020-12-14,362970.71,6.42,24,defaulted
L003183,C041874,2023-02-24,269769.88,11.44,60,active
L003184,C037770,2021-08-13,143083.93,14.15,36,paid
L003185,C043928,2022-10-07,193667.99,5.32,12,active
L003186,C029689,2021-07-11,54193.74,8.76,48,active
L003187,C029851,2022-06-17,87291.89,12.61,12,paid
L003188,C046938,2021-10-20,68277.41,5.73,48,active
L003189,C046855,2021-12-26,465180.39,4.51,36,active
L003190,C017699,2022-03-05,280553.22,14.65,48,defaulted
L003191,C026034,2022-01-08,163412.92,6.06,24,active
L003192,C012740,2021-12-26,445007.37,14.01,36,paid
L003193,C037166,2021-03-14,4058.12,11.18,36,active
L003194,C044039,2022-05-30,41649.51,12.65,12,defaulted
L003195,C047376,2022-07-10,203633.19,7.81,60,defaulted
L003196,C036659,2021-06-13,209893.06,9.3,24,active
L003197,C036176,2020-12-14,453057.94,14.89,12,active
L003198,C035358,2021-01-24,187335.38,4.27,12,defaulted
L003199,C049639,2021-09-03,483872.75,5.21,36,paid
L003200,C021255,2023-02-10,369529.95,12.61,12,defaulted
L003201,C034206,2022-10-27,209785.59,11.58,12,defaulted
L003202,C034528,2020-12-09,353660.72,12.86,12,active
L003203,C012720,2021-07-25,260517.74,4.89,60,defaulted
