individual_id,household_id,age,gender,education,employment,income
I00007183,H0016748,13,F,HS Diploma,Self-Employed,46678
I00007184,H0077509,88,M,HS Diploma,Employed,161765
I00007185,H0037185,52,M,HS Diploma,Student,202017
I00007186,H0073507,23,F,HS Diploma,Student,101185
I00007187,H0084975,90,M,Some College,Self-Employed,288086
I00007188,H0094527,73,M,Doctorate,Retired,217645
I00007189,H0060404,63,F,Bachelors,Employed,118973
I00007190,H0090155,52,M,Doctorate,Student,427008
I00007191,H0010797,35,F,Less than HS,Unemployed,14804
I00007192,H0099063,82,F,HS Diploma,Student,399106
I00007193,H0080231,50,M,HS Diploma,Self-Employed,478746
I00007194,H0049939,88,M,Some College,Unemployed,125335
I00007195,H0006033,92,F,Masters,Student,272730
I00007196,H0042915,90,M,Bachelors,Self-Employed,81457
I00007197,H0009635,92,M,HS Diploma,Employed,421647
I00007198,H0029194,66,F,Doctorate,Retired,374169
I00007199,H0074902,8,F,Less than HS,Self-Employed,25834
I00007200,H0068491,1,F,Masters,Retired,472795
I00007201,H0034337,8,M,HS Diploma,Student,466341
I00007202,H0007172,84,M,Less than HS,Student,37514
I00007203,H0063160,12,F,Masters,Student,216154
I00007204,H0023224,75,M,Bachelors,Retired,464597
I00007205,H0001974,92,F,Doctorate,Unemployed,122911
I00007206,H0028885,69,F,Less than HS,Retired,332228
I00007207,H0075717,55,F,Bachelors,Self-Employed,168666
I00007208,H0019177,98,F,Less than HS,Student,20763
I00007209,H0019456,70,M,Less than HS,Self-Employed,152039
I00007210,H0093202,52,F,Less than HS,Student,197913
I00007211,H0086147,100,M,Doctorate,Employed,33138
I00007212,H0085121,37,M,HS Diploma,Student,418899
I00007213,H0016130,38,M,Bachelors,Unemployed,430309
I00007214,H0000746,25,M,HS Diploma,Unemployed,329604
I00007215,H0065605,23,F,Some College,Employed,388721
I00007216,H0055412,48,M,HS Diploma,Retired,45075
I00007217,H0048865,82,M,Masters,Student,182804
I00007218,H0013039,87,M,Masters,Retired,318069
I00007219,H0039111,8,F,Doctorate,Employed,82764
I00007220,H0053543,15,M,Doctorate,Employed,400381
I00007221,H0090653,24,M,Bachelors,Retired,21728
I00007222,H0009697,72,M,Less than HS,Unemployed,185286
I00007223,H0054705,97,F,Less than HS,Employed,198585
I00007224,H0004371,66,F,Masters,Employed,92299
I00007225,H0015886,93,F,Doctorate,Employed,411954
I00007226,H0000547,49,M,HS Diploma,Self-Employed,225762
I00007227,H0078371,8,M,HS Diploma,Self-Employed,453835
I00007228,H0081930,56,M,Less than HS,Student,371937
I00007229,H0029203,57,M,Some College,Employed,243791
I00007230,H0091292,48,M,Some College,Unemployed,136290
I00007231,H0067032,20,F,Masters,Employed,275968
I00007232,H0088622,0,M,Bachelors,Self-Employed,187921
I00007233,H0018377,19,F,Bachelors,Student,295778
I00007234,H0011766,51,F,Bachelors,Unemployed,24634
I00007235,H0024116,49,F,HS Diploma,Self-Employed,42890
I00007236,H0043925,77,F,Bachelors,Employed,293327
I00007237,H0017469,15,F,Less than HS,Student,415597
I00007238,H0097947,22,M,Some College,Employed,97771
I00007239,H0042960,43,M,Less than HS,Unemployed,57767
I00007240,H0078639,1,M,Masters,Employed,66350
I00007241,H0041357,60,F,Masters,Retired,406207
I00007242,H0020800,42,M,Masters,Student,401703
I00007243,H0025987,68,M,Doctorate,Retired,147830
I00007244,H0066098,2,M,Bachelors,Unemployed,271778
I00007245,H0063920,15,M,Masters,Self-Employed,192755
I00007246,H0094695,55,F,HS Diploma,Student,72826
I00007247,H0074011,2,M,Less than HS,Student,253726
I00007248,H0088608,0,F,HS Diploma,Self-Employed,445543
I00007249,H0088854,20,F,Masters,Retired,62141
I00007250,H0026302,97,F,Masters,Unemployed,437612
I00007251,H0092734,9,F,Less than HS,Self-Employed,246841
I00007252,H0067807,2,F,Bachelors,Student,299122
I00007253,H0030502,39,F,HS Diploma,Student,85838
I00007254,H0062956,57,M,Doctorate,Self-Employed,266361
I00007255,H0070744,25,F,HS Diploma,Student,234922
I00007256,H0039827,98,F,Masters,Retired,270318
I00007257,H0025768,51,M,Masters,Unemployed,43012
I00007258,H0036988,9,M,Masters,Retired,171458
I00007259,H0002692,68,M,Some College,Student,117739
I00007260,H0072311,61,M,HS Diploma,Student,374983
I00007261,H0004169,11,M,Less than HS,Unemployed,324294
I00007262,H0081556,71,M,Bachelors,Self-Employed,401570
I00007263,H0075827,30,F,Bachelors,Unemployed,448028
I00007264,H0086797,4,F,Less than HS,Student,351382
I00007265,H0089425,68,M,HS Diploma,Retired,444375
I00007266,H0052405,60,M,HS Diploma,Self-Employed,8343
I00007267,H0037377,73,M,Bachelors,Student,304310
I00007268,H0081085,7,F,Bachelors,Student,22081
I00007269,H0089033,97,F,Bachelors,Retired,90301
I00007270,H0090820,84,M,Doctorate,Student,476654
I00007271,H0075532,40,F,Less than HS,Self-Employed,30177
I00007272,H0093017,88,M,HS Diploma,Unemployed,136585
I00007273,H0081811,80,M,Masters,Retired,461138
I00007274,H0011458,78,F,Masters,Student,211523
I00007275,H0024552,10,M,Some College,Retired,289356
I00007276,H0030363,82,M,Bachelors,Employed,439883
I00007277,H0067191,11,M,HS Diploma,Self-Employed,161509
I00007278,H0015942,100,F,Bachelors,Self-Employed,97091
I00007279,H0042888,1,M,Less than HS,Student,89415
I00007280,H0072578,73,M,Less than HS,Self-Employed,382100
I00007281,H0019299,85,F,Doctorate,Self-Employed,85003
I00007282,H0088363,30,M,Less than HS,Retired,211440
I00007283,H0046057,22,F,HS Diploma,Unemployed,291917
I00007284,H0027646,15,M,HS Diploma,Retired,35080
I00007285,H0055021,90,F,Masters,Self-Employed,285053
I00007286,H0053861,35,F,Doctorate,Unemployed,64615
I00007287,H0083379,67,M,Doctorate,Employed,146508
I00007288,H0065165,59,F,Doctorate,Self-Employed,331835
I00007289,H0045250,55,F,Masters,Student,227215
I00007290,H0081253,87,F,Some College,Unemployed,231567
I00007291,H0086957,75,M,HS Diploma,Self-Employed,134430
I00007292,H0003605,77,M,Doctorate,Self-Employed,298262
I00007293,H0021884,12,F,HS Diploma,Student,106493
I00007294,H0014095,61,M,Less than HS,Student,159722
I00007295,H0019515,75,F,Less than HS,Employed,17094
I00007296,H0039728,81,M,Less than HS,Self-Employed,12647
I00007297,H0020589,60,F,Bachelors,Employed,165714
I00007298,H0080007,33,M,Some College,Self-Employed,5054
I00007299,H0045185,10,F,HS Diploma,Employed,209066
I00007300,H0034580,39,M,Less than HS,Retired,479916
I00007301,H0019239,62,F,Less than HS,Student,255925
I00007302,H0067792,13,F,Some College,Self-Employed,78582
I00007303,H0070032,23,F,Bachelors,Unemployed,87981
I00007304,H0069535,45,F,Bachelors,Self-Employed,370287
I00007305,H0093010,44,M,Less than HS,Student,89263
I00007306,H0084114,91,M,Bachelors,Retired,38190
I00007307,H0003373,66,F,Some College,Retired,397770
I00007308,H0046635,58,M,Bachelors,Unemployed,396
I00007309,H0024619,79,M,Masters,Retired,346053
I00007310,H0038290,38,M,Less than HS,Self-Employed,476155
I00007311,H0037437,52,M,HS Diploma,Retired,162534
I00007312,H0094918,43,M,Some College,Student,429136
I00007313,H0021438,55,M,Less than HS,Employed,343048
I00007314,H0022229,83,F,Masters,Self-Employed,306794
I00007315,H0085196,86,F,Masters,Employed,335607
I00007316,H0087548,84,F,Some College,Employed,447450
I00007317,H0020713,29,M,Doctorate,Employed,250369
I00007318,H0000084,65,F,Some College,Student,81050
I00007319,H0043567,42,M,HS Diploma,Self-Employed,78330
I00007320,H0029129,22,F,Less than HS,Unemployed,398201
I00007321,H0024089,29,M,Doctorate,Unemployed,189205
I00007322,H0060494,98,F,HS Diploma,Employed,231665
I00007323,H0008792,73,M,Some College,Employed,443994
I00007324,H0028210,95,F,Masters,Retired,414221
I00007325,H0047856,28,M,Doctorate,Self-Employed,276919
I00007326,H0041259,89,M,Less than HS,Self-Employed,490253
I00007327,H0017600,65,M,Less than HS,Student,335081
I00007328,H0092752,42,M,Bachelors,Student,272255
I00007329,H0066337,79,F,Doctorate,Employed,416181
I00007330,H0074779,54,M,Less than HS,Unemployed,398338
I00007331,H0009853,36,F,Masters,Unemployed,444308
I00007332,H0092486,19,M,Less than HS,Student,124250
I00007333,H0007570,17,F,Masters,Self-Employed,109203
I00007334,H0083985,35,F,Bachelors,Employed,464791
I00007335,H0000545,87,M,Bachelors,Student,17178
I00007336,H0014556,92,F,HS Diploma,Self-Employed,167251
I00007337,H0071442,41,F,Bachelors,Student,419937
I00007338,H0078349,47,F,Less than HS,Student,318302
I00007339,H0007570,83,M,Some College,Student,272039
I00007340,H0006061,22,M,Masters,Retired,236736
I00007341,H0057648,58,F,Bachelors,Self-Employed,476251
I00007342,H0094110,99,M,Bachelors,Self-Employed,155068
I00007343,H0044721,31,F,Masters,Employed,141085
I00007344,H0066028,28,M,HS Diploma,Retired,321812
I00007345,H0070005,11,M,Doctorate,Employed,80077
I00007346,H0085208,29,M,HS Diploma,Unemployed,233179
I00007347,H0092552,53,M,Some College,Retired,24061
I00007348,H0025656,10,F,Masters,Unemployed,446332
I00007349,H0068261,88,F,Bachelors,Retired,325844
I00007350,H0089740,16,M,Some College,Unemployed,22913
I00007351,H0056424,56,F,Bachelors,Employed,256560
I00007352,H0033605,27,M,Bachelors,Retired,344235
I00007353,H0061405,39,M,Less than HS,Unemployed,74803
I00007354,H0016781,88,M,Bachelors,Retired,93694
I00007355,H0010275,44,F,Doctorate,Retired,457332
I00007356,H0002444,29,F,HS Diploma,Employed,307607
I00007357,H0030189,53,M,Some College,Employed,488460
I00007358,H0041934,43,M,Masters,Self-Employed,388500
I00007359,H0010542,22,F,Bachelors,Student,224589
I00007360,H0081992,76,F,Some College,Retired,324024
I00007361,H0050517,13,M,Some College,Employed,299818
I00007362,H0068777,86,M,Less than HS,Self-Employed,33046
I00007363,H0005212,70,M,Doctorate,Unemployed,153159
I00007364,H0059850,1,F,HS Diploma,Employed,300768
I00007365,H0015272,83,F,HS Diploma,Retired,276291
I00007366,H0007497,88,F,Doctorate,Unemployed,124934
I00007367,H0022822,16,M,Masters,Unemployed,145041
I00007368,H0074149,44,F,Less than HS,Unemployed,16612
I00007369,H0076335,42,F,Bachelors,Retired,328447
I00007370,H0076525,53,F,HS Diploma,Self-Employed,222471
I00007371,H0004801,8,M,HS Diploma,Student,162365
I00007372,H0082970,33,M,Bachelors,Employed,336527
I00007373,H0035910,77,F,Masters,Self-Employed,345637
I00007374,H0048362,30,F,Less than HS,Student,332537
I00007375,H0088427,6,F,Masters,Self-Employed,433952
I00007376,H0075355,69,M,Some College,Employed,313211
I00007377,H0079194,60,M,Masters,Student,12363
I00007378,H0044786,88,M,Doctorate,Unemployed,413638
I00007379,H0025625,12,F,Bachelors,Self-Employed,108812
I00007380,H0057573,80,F,Less than HS,Student,227246
I00007381,H0049730,77,M,Masters,Employed,175878
I00007382,H0081239,10,F,Some College,Retired,230780
I00007383,H0043335,87,M,Bachelors,Employed,460308
I00007384,H0036397,44,F,Bachelors,Unemployed,65358
I00007385,H0021344,46,M,HS Diploma,Student,145396
I00007386,H0024741,51,F,Less than HS,Retired,193834
I00007387,H0026772,76,M,Masters,Unemployed,368198
I00007388,H0077465,65,F,Bachelors,Self-Employed,138450
I00007389,H0064771,98,F,Doctorate,Retired,190797
I00007390,H0094000,35,F,Some College,Employed,196206
I00007391,H0021367,14,M,HS Diploma,Employed,330175
I00007392,H0022313,44,F,Less than HS,Employed,21019
I00007393,H0098785,47,F,Bachelors,Unemployed,46702
I00007394,H0021655,72,M,Doctorate,Unemployed,318692
I00007395,H0072643,40,F,Masters,Student,130647
I00007396,H0067534,95,M,Some College,Retired,101383
I00007397,H0039368,62,M,Masters,Unemployed,280705
I00007398,H0052561,23,M,Less than HS,Retired,160990
I00007399,H0099023,29,M,Some College,Self-Employed,497422
I00007400,H0083413,100,M,Some College,Self-Employed,196281
I00007401,H0092244,66,M,Less than HS,Employed,312586
I00007402,H0020991,49,F,Bachelors,Student,148469
I00007403,H0048266,81,M,Masters,Unemployed,407558
I00007404,H0043344,26,F,Masters,Unemployed,481046
I00007405,H0064806,18,M,Bachelors,Self-Employed,145667
I00007406,H0041412,93,F,Doctorate,Self-Employed,410833
I00007407,H0050530,45,F,Some College,Employed,388117
I00007408,H0039193,22,F,HS Diploma,Self-Employed,448867
I00007409,H0005205,79,F,Bachelors,Employed,55722
I00007410,H0061790,0,F,Masters,Employed,377591
I00007411,H0004171,97,M,Bachelors,Unemployed,219610
I00007412,H0005183,67,F,Less than HS,Student,278909
I00007413,H0044719,73,M,Doctorate,Student,160821
I00007414,H0049370,44,F,Some College,Unemployed,299692
I00007415,H0081680,96,F,Less than HS,Retired,338092
I00007416,H0032763,35,F,Less than HS,Student,462072
I00007417,H0062559,11,F,Doctorate,Unemployed,80775
I00007418,H0004260,87,F,Less than HS,Student,269522
I00007419,H0038567,6,M,HS Diploma,Retired,398413
I00007420,H0004487,9,M,Doctorate,Self-Employed,12932
I00007421,H0027487,94,M,Doctorate,Student,208932
I00007422,H0026179,97,M,Masters,Self-Employed,171355
I00007423,H0008480,9,F,Less than HS,Unemployed,249503
I00007424,H0054624,31,F,Less than HS,Self-Employed,296330
I00007425,H0068735,85,M,Masters,Self-Employed,228855
I00007426,H0074866,53,M,Less than HS,Retired,211366
I00007427,H0045462,28,F,HS Diploma,Unemployed,46237
I00007428,H0025743,70,F,Masters,Employed,32013
I00007429,H0035572,50,M,HS Diploma,Employed,411140
I00007430,H0060286,55,M,Some College,Employed,158479
I00007431,H0008388,38,M,Doctorate,Unemployed,283588
I00007432,H0029798,57,M,Less than HS,Retired,469811
I00007433,H0072008,93,M,HS Diploma,Unemployed,128411
I00007434,H0090972,41,M,Bachelors,Student,221497
I00007435,H0097038,53,F,Masters,Self-Employed,490061
I00007436,H0011556,3,M,Bachelors,Employed,83515
I00007437,H0080537,46,M,Doctorate,Employed,181818
I00007438,H0012313,86,F,Masters,Self-Employed,121938
I00007439,H0091540,72,M,Less than HS,Unemployed,67080
I00007440,H0071690,36,F,HS Diploma,Self-Employed,271757
I00007441,H0088510,53,M,HS Diploma,Self-Employed,254159
I00007442,H0041961,63,M,Less than HS,Student,278609
I00007443,H0007071,98,M,Bachelors,Retired,231072
I00007444,H0025741,17,M,HS Diploma,Self-Employed,286465
I00007445,H0088641,72,M,Less than HS,Unemployed,135070
I00007446,H0028923,24,M,Some College,Unemployed,345398
I00007447,H0025927,47,F,Bachelors,Self-Employed,352196
I00007448,H0001838,76,M,Masters,Employed,141663
I00007449,H0040043,82,M,Masters,Employed,451271
I00007450,H0007305,22,M,Some College,Student,151801
I00007451,H0076147,83,F,Some College,Retired,417650
I00007452,H0093095,70,M,Some College,Unemployed,183480
I00007453,H0061653,69,F,Masters,Retired,350884
I00007454,H0049453,49,F,HS Diploma,Self-Employed,447652
I00007455,H0058119,32,M,Bachelors,Retired,359938
I00007456,H0077942,40,M,Masters,Student,255425
I00007457,H0013172,51,F,HS Diploma,Self-Employed,255629
I00007458,H0087429,97,F,Less than HS,Student,415569
I00007459,H0064957,18,M,Bachelors,Student,155612
I00007460,H0081840,71,F,Doctorate,Employed,198422
I00007461,H0039284,70,F,Some College,Unemployed,145601
I00007462,H0055924,76,M,Some College,Retired,1968
I00007463,H0076637,93,F,Masters,Self-Employed,210016
I00007464,H0010149,33,M,Masters,Student,267029
I00007465,H0036615,63,F,HS Diploma,Unemployed,470753
I00007466,H0032685,39,F,Bachelors,Student,260328
I00007467,H0040971,38,F,Bachelors,Retired,406555
I00007468,H0032322,68,F,Bachelors,Retired,437936
I00007469,H0092341,37,F,Some College,Self-Employed,224316
I00007470,H0032135,74,F,Masters,Retired,280190
I00007471,H0085148,55,F,Doctorate,Retired,438260
I00007472,H0003930,4,M,Some College,Employed,266153
I00007473,H0068480,63,M,Less than HS,Unemployed,412271
I00007474,H0015790,41,F,Some College,Unemployed,378232
I00007475,H0084217,97,M,HS Diploma,Employed,286060
I00007476,H0027985,8,M,HS Diploma,Student,294184
I00007477,H0094606,45,F,Masters,Student,366498
I00007478,H0054857,87,F,Less than HS,Retired,163330
I00007479,H0033567,73,F,Some College,Self-Employed,322914
I00007480,H0041090,67,F,Masters,Employed,113435
I00007481,H0067910,86,M,Doctorate,Self-Employed,235839
I00007482,H0028297,37,M,Doctorate,Retired,142840
I00007483,H0013047,45,M,Masters,Self-Employed,203204
I00007484,H0005547,68,M,Bachelors,Student,350487
I00007485,H0030878,81,F,Less than HS,Unemployed,122218
I00007486,H0084841,49,F,Doctorate,Employed,378965
I00007487,H0041935,2,F,Less than HS,Employed,234123
I00007488,H0081721,96,F,HS Diploma,Retired,328804
I00007489,H0053222,70,M,Masters,Self-Employed,278483
I00007490,H0024185,87,M,Doctorate,Employed,291179
I00007491,H0006520,4,M,Masters,Employed,32804
I00007492,H0040261,21,M,Some College,Student,275933
I00007493,H0023230,0,F,Masters,Self-Employed,448122
I00007494,H0014633,61,F,Masters,Unemployed,366134
I00007495,H0039868,70,F,Some College,Retired,231790
I00007496,H0019833,77,F,Bachelors,Unemployed,105766
I00007497,H0077721,85,F,Less than HS,Employed,391894
I00007498,H0030103,11,M,HS Diploma,Unemployed,40878
I00007499,H0098505,95,F,Some College,Unemployed,212847
I00007500,H0086425,56,F,Masters,Self-Employed,390213
I00007501,H0041548,7,F,Some College,Retired,59671
I00007502,H0024773,72,F,Bachelors,Unemployed,399150
I00007503,H0027557,71,F,Bachelors,Self-Employed,400824
I00007504,H0025406,31,F,Doctorate,Retired,305916
I00007505,H0079044,81,F,Less than HS,Student,454863
I00007506,H0055785,63,M,Less than HS,Student,145939
I00007507,H0098875,21,M,Bachelors,Unemployed,277808
I00007508,H0087043,70,M,HS Diploma,Student,262795
I00007509,H0033468,39,F,HS Diploma,Employed,374449
I00007510,H0098071,5,M,Doctorate,Employed,405456
I00007511,H0054630,71,M,HS Diploma,Employed,474224
I00007512,H0069264,10,F,Less than HS,Self-Employed,130407
I00007513,H0022501,14,M,Less than HS,Unemployed,427218
I00007514,H0071366,87,F,Less than HS,Retired,136425
I00007515,H0084941,25,F,Masters,Unemployed,393590
I00007516,H0074522,6,M,Doctorate,Employed,261615
I00007517,H0077961,19,F,Masters,Retired,154539
I00007518,H0057594,90,M,Some College,Self-Employed,443853
I00007519,H0073956,88,M,Less than HS,Unemployed,57874
I00007520,H0067596,4,F,HS Diploma,Employed,197519
I00007521,H0084167,69,F,Masters,Student,475718
I00007522,H0013889,81,M,HS Diploma,Retired,405254
I00007523,H0024640,69,M,Doctorate,Self-Employed,206349
I00007524,H0029186,12,M,Less than HS,Self-Employed,217399
I00007525,H0098438,35,F,HS Diploma,Self-Employed,238223
I00007526,H0082113,55,F,Doctorate,Retired,300155
I00007527,H0029501,37,F,Some College,Retired,29673
I00007528,H0074636,59,M,Bachelors,Employed,455482
I00007529,H0049586,31,F,Masters,Employed,266691
I00007530,H0009340,9,F,Masters,Student,467865
I00007531,H0089631,50,M,Doctorate,Employed,46161
I00007532,H0015595,72,M,HS Diploma,Self-Employed,63663
I00007533,H0073771,23,F,Masters,Retired,125390
I00007534,H0070251,61,F,Some College,Employed,366184
I00007535,H0058090,96,F,Bachelors,Employed,436667
I00007536,H0046443,88,M,Bachelors,Retired,203961
I00007537,H0094001,18,M,HS Diploma,Self-Employed,322618
I00007538,H0028286,9,F,Less than HS,Self-Employed,179510
I00007539,H0069894,71,F,Masters,Unemployed,402167
I00007540,H0015108,3,F,HS Diploma,Employed,81989
I00007541,H0036361,22,F,Masters,Employed,350475
I00007542,H0095353,33,F,Bachelors,Self-Employed,321831
I00007543,H0038198,70,F,Bachelors,Unemployed,458675
I00007544,H0071824,26,M,Less than HS,Self-Employed,226132
I00007545,H0034459,15,F,Doctorate,Unemployed,127427
I00007546,H0019882,92,F,Doctorate,Student,243328
I00007547,H0044879,28,F,Masters,Self-Employed,405416
I00007548,H0002473,32,F,Bachelors,Self-Employed,56827
I00007549,H0020421,43,M,Some College,Student,343406
I00007550,H0025333,48,F,Some College,Unemployed,111456
I00007551,H0045512,30,F,HS Diploma,Student,188684
I00007552,H0067635,72,M,Doctorate,Self-Employed,375187
I00007553,H0047292,9,M,Less than HS,Unemployed,148302
I00007554,H0015168,56,M,Masters,Retired,242051
I00007555,H0017941,64,F,Doctorate,Retired,207183
I00007556,H0095883,51,M,HS Diploma,Self-Employed,7647
I00007557,H0003431,16,M,Bachelors,Employed,371202
I00007558,H0010905,53,M,HS Diploma,Student,12237
I00007559,H0066494,73,F,Doctorate,Retired,345502
I00007560,H0032149,78,M,Bachelors,Unemployed,405500
I00007561,H0095716,99,F,Masters,Self-Employed,34230
I00007562,H0053910,66,M,Doctorate,Unemployed,66647
I00007563,H0067888,32,F,HS Diploma,Student,81009
I00007564,H0053896,96,M,Masters,Self-Employed,321098
I00007565,H0056950,48,F,Some College,Self-Employed,396936
I00007566,H0082720,56,F,Masters,Student,193217
I00007567,H0087400,96,M,Some College,Student,311022
I00007568,H0020284,59,M,Some College,Retired,485372
I00007569,H0081594,0,F,Less than HS,Student,338425
I00007570,H0096395,57,M,Less than HS,Retired,149799
I00007571,H0024376,79,F,Less than HS,Unemployed,185971
I00007572,H0061692,65,F,Doctorate,Employed,496962
I00007573,H0035012,64,F,Doctorate,Unemployed,397892
I00007574,H0095131,80,M,Masters,Retired,496020
I00007575,H0072259,35,M,HS Diploma,Student,395785
I00007576,H0086588,79,F,Bachelors,Retired,415274
I00007577,H0014751,51,F,Masters,Retired,203200
I00007578,H0073319,16,F,HS Diploma,Self-Employed,184273
I00007579,H0062152,52,F,Less than HS,Self-Employed,209162
I00007580,H0019412,83,F,HS Diploma,Self-Employed,244111
I00007581,H0021297,38,F,Less than HS,Self-Employed,18786
I00007582,H0071965,61,M,Bachelors,Employed,191394
I00007583,H0000535,52,F,Doctorate,Unemployed,322948
I00007584,H0027861,7,F,Bachelors,Student,477091
I00007585,H0026338,82,M,HS Diploma,Self-Employed,245676
I00007586,H0020756,93,F,Doctorate,Employed,396917
I00007587,H0013776,7,F,Masters,Employed,338603
I00007588,H0070389,55,M,Some College,Retired,209621
I00007589,H0030079,79,F,Doctorate,Retired,443140
I00007590,H0073036,34,M,Less than HS,Employed,213644
I00007591,H0017276,65,M,Doctorate,Student,391776
I00007592,H0063851,90,M,Masters,Employed,39322
I00007593,H0054230,65,F,HS Diploma,Unemployed,46466
I00007594,H0050638,49,F,Less than HS,Unemployed,203114
I00007595,H0041368,58,F,Less than HS,Employed,85234
I00007596,H0066484,29,M,Masters,Student,386373
I00007597,H0011203,45,F,Some College,Student,351975
I00007598,H0071729,8,F,Masters,Unemployed,115520
I00007599,H0048304,53,F,Some College,Unemployed,286764
I00007600,H0041344,44,M,HS Diploma,Self-Employed,494671
I00007601,H0081017,67,M,Masters,Employed,363140
I00007602,H0062133,75,M,Some College,Student,396347
I00007603,H0060476,12,M,HS Diploma,Retired,313629
I00007604,H0061646,45,F,HS Diploma,Student,440137
I00007605,H0078267,23,M,Less than HS,Student,426333
I00007606,H0096286,46,M,HS Diploma,Unemployed,400442
I00007607,H0019678,10,M,Masters,Retired,339966
I00007608,H0070203,82,M,Doctorate,Student,245461
I00007609,H0028689,89,F,HS Diploma,Student,7971
I00007610,H0073814,3,M,Bachelors,Retired,403413
I00007611,H0057817,1,F,Some College,Student,7118
I00007612,H0095989,64,F,Doctorate,Retired,153063
I00007613,H0070658,44,M,Doctorate,Employed,277813
I00007614,H0028794,34,F,HS Diploma,Student,311290
I00007615,H0084923,65,M,Less than HS,Employed,470729
I00007616,H0005757,0,M,Doctorate,Self-Employed,132065
I00007617,H0047523,51,F,Some College,Student,276883
I00007618,H0088793,63,M,Doctorate,Unemployed,205130
I00007619,H0017663,39,F,Masters,Self-Employed,217586
I00007620,H0071709,68,F,Doctorate,Self-Employed,114335
I00007621,H0068906,19,M,HS Diploma,Unemployed,126675
I00007622,H0074485,9,M,Some College,Employed,287714
I00007623,H0010445,72,F,Doctorate,Retired,347880
I00007624,H0007431,31,M,Some College,Self-Employed,482950
I00007625,H0007895,55,F,Some College,Unemployed,333363
I00007626,H0010910,33,F,HS Diploma,Retired,147932
I00007627,H0015446,27,M,Less than HS,Student,374525
I00007628,H0014534,22,M,Some College,Unemployed,189886
I00007629,H0034927,33,M,Masters,Retired,40828
I00007630,H0011751,32,M,Some College,Employed,23351
I00007631,H0073341,83,M,HS Diploma,Unemployed,344279
I00007632,H0010553,70,M,Less than HS,Self-Employed,290812
I00007633,H0040795,82,F,Less than HS,Unemployed,393902
I00007634,H0083107,85,F,HS Diploma,Employed,114718
I00007635,H0017814,48,F,HS Diploma,Student,64534
I00007636,H0075545,46,M,Some College,Self-Employed,184739
I00007637,H0032776,83,M,Some College,Employed,301871
I00007638,H0036973,80,F,Masters,Self-Employed,34795
I00007639,H0085035,87,M,Some College,Unemployed,63775
I00007640,H0060804,1,F,HS Diploma,Unemployed,108287
I00007641,H0058771,63,F,Masters,Self-Employed,453694
I00007642,H0082381,88,F,Less than HS,Employed,238477
I00007643,H0083540,85,F,HS Diploma,Student,469706
I00007644,H0051944,64,F,HS Diploma,Retired,164644
I00007645,H0067628,59,M,Some College,Unemployed,4717
I00007646,H0084493,13,F,Less than HS,Self-Employed,170618
I00007647,H0034493,76,M,Less than HS,Retired,32201
I00007648,H0037564,71,M,Masters,Unemployed,464366
I00007649,H0082362,52,F,Some College,Unemployed,471581
I00007650,H0090913,64,M,Less than HS,Employed,473017
I00007651,H0040269,58,M,Bachelors,Retired,397931
I00007652,H0028201,78,F,Less than HS,Unemployed,262250
I00007653,H0038812,93,M,Doctorate,Self-Employed,134936
I00007654,H0068347,8,M,Bachelors,Unemployed,183335
I00007655,H0055859,62,M,Less than HS,Self-Employed,222406
I00007656,H0039540,28,F,Masters,Retired,73066
I00007657,H0035045,13,M,Masters,Employed,42563
I00007658,H0064961,14,M,Less than HS,Self-Employed,478762
I00007659,H0002913,18,M,HS Diploma,Self-Employed,333556
I00007660,H0024502,43,F,HS Diploma,Unemployed,245528
I00007661,H0039502,70,F,Less than HS,Self-Employed,185110
I00007662,H0089885,22,M,Masters,Self-Employed,402625
I00007663,H0006383,93,M,Doctorate,Unemployed,92122
I00007664,H0032721,49,M,Bachelors,Self-Employed,416047
I00007665,H0046960,36,F,Less than HS,Unemployed,423397
I00007666,H0096722,80,F,Masters,Student,143410
I00007667,H0072718,25,F,Some College,Unemployed,23532
I00007668,H0044733,29,F,Masters,Self-Employed,373223
I00007669,H0084491,100,M,Some College,Retired,286252
I00007670,H0091175,19,M,HS Diploma,Student,210677
I00007671,H0045353,55,F,Bachelors,Employed,307444
I00007672,H0002606,2,M,HS Diploma,Student,61873
I00007673,H0021039,64,M,HS Diploma,Retired,201156
I00007674,H0017376,82,F,Less than HS,Student,412343
I00007675,H0086521,10,F,Bachelors,Unemployed,171959
I00007676,H0015923,49,M,Bachelors,Retired,101960
I00007677,H0081856,10,F,Bachelors,Student,56717
I00007678,H0034718,58,F,Doctorate,Student,62050
I00007679,H0027587,61,M,Masters,Unemployed,44402
I00007680,H0004166,50,F,Masters,Self-Employed,45597
I00007681,H0098963,95,F,Bachelors,Self-Employed,367510
I00007682,H0022155,60,M,Doctorate,Self-Employed,264684
I00007683,H0010542,37,M,Less than HS,Student,145451
I00007684,H0002276,40,M,Doctorate,Retired,355312
I00007685,H0001547,73,M,HS Diploma,Unemployed,39858
I00007686,H0077399,5,F,Bachelors,Unemployed,303322
I00007687,H0024768,63,F,Doctorate,Employed,434944
I00007688,H0001050,19,F,Less than HS,Self-Employed,17433
I00007689,H0032230,30,M,Some College,Unemployed,316327
I00007690,H0019097,21,F,HS Diploma,Unemployed,176391
I00007691,H0028736,13,F,Doctorate,Retired,230014
